material_id,cif,ef_per_atom,tc,superband_id,superband_formula,superband_cif_id,mp_material_id,cif_source
superband-10001,"# generated using pymatgen
data_Sr1Ag0.02Ge2Pd1.98
_symmetry_space_group_name_H-M   I4/mmm
_cell_length_a   4.43867200
_cell_length_b   4.43867200
_cell_length_c   6.03054834
_cell_angle_alpha   111.59328752
_cell_angle_beta   111.59328752
_cell_angle_gamma   89.99999999
_symmetry_Int_Tables_number   139
_chemical_formula_structural   Sr1Ag0.02Ge2Pd1.98
_chemical_formula_sum   'Sr1 Ag0.02 Ge2 Pd1.98'
_cell_volume   101.45304754
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y+z, x, z'
  4  'y-z, -x, -z'
  5  '-x+z, -y+z, z'
  6  'x-z, y-z, -z'
  7  'y, -x+z, z'
  8  '-y, x-z, -z'
  9  'x-z, -y, -z'
  10  '-x+z, y, z'
  11  '-y, -x, -z'
  12  'y, x, z'
  13  '-x, y-z, -z'
  14  'x, -y+z, z'
  15  'y-z, x-z, -z'
  16  '-y+z, -x+z, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.00000000  0.00000000  0.00000000  1.0
  Ge  Ge1  2  0.37057000  0.37057000  0.74114000  1.0
  Pd  Pd2  2  0.25000000  0.75000000  0.50000000  0.99
  Ag  Ag3  2  0.25000000  0.75000000  0.50000000  0.01
",-0.7134818633333324,2.64,10001,Ag0.02Ge2Pd1.98Sr1,14118,mp-978986,3dsc_mp
superband-10002,"# generated using pymatgen
data_Ag0.15Sn0.85Te1
_symmetry_space_group_name_H-M   Fm-3m
_cell_length_a   4.53766968
_cell_length_b   4.53766968
_cell_length_c   4.53766968
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   225
_chemical_formula_structural   Ag0.15Sn0.85Te1
_chemical_formula_sum   'Ag0.15 Sn0.85 Te1'
_cell_volume   66.06685550
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y, -z, x+y+z'
  4  'y, z, -x-y-z'
  5  'z, -x-y-z, x'
  6  '-z, x+y+z, -x'
  7  'x+y+z, -x, -y'
  8  '-x-y-z, x, y'
  9  'y, x, -x-y-z'
  10  '-y, -x, x+y+z'
  11  '-z, -y, -x'
  12  'z, y, x'
  13  '-x-y-z, z, y'
  14  'x+y+z, -z, -y'
  15  '-x, x+y+z, -z'
  16  'x, -x-y-z, z'
  17  'z, x, y'
  18  '-z, -x, -y'
  19  'x+y+z, -y, -z'
  20  '-x-y-z, y, z'
  21  'x, z, -x-y-z'
  22  '-x, -z, x+y+z'
  23  '-y, x+y+z, -x'
  24  'y, -x-y-z, x'
  25  '-x-y-z, y, x'
  26  'x+y+z, -y, -x'
  27  '-x, -z, -y'
  28  'x, z, y'
  29  'y, -x-y-z, z'
  30  '-y, x+y+z, -z'
  31  '-z, -x, x+y+z'
  32  'z, x, -x-y-z'
  33  'y, z, x'
  34  '-y, -z, -x'
  35  '-z, x+y+z, -y'
  36  'z, -x-y-z, y'
  37  '-x-y-z, x, z'
  38  'x+y+z, -x, -z'
  39  '-x, -y, x+y+z'
  40  'x, y, -x-y-z'
  41  'x, -x-y-z, y'
  42  '-x, x+y+z, -y'
  43  '-y, -x, -z'
  44  'y, x, z'
  45  'z, y, -x-y-z'
  46  '-z, -y, x+y+z'
  47  'x+y+z, -z, -x'
  48  '-x-y-z, z, x'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sn  Sn0  1  0.00000000  0.00000000  0.00000000  0.85
  Ag  Ag1  1  0.00000000  0.00000000  0.00000000  0.15
  Te  Te2  1  0.50000000  0.50000000  0.50000000  1.0
",-0.4971617975000004,2.15,10002,Ag0.15Sn0.85Te1,15674,mp-1883,3dsc_mp
superband-10003,"# generated using pymatgen
data_Sr1Ag0.1Ge2Pd1.9
_symmetry_space_group_name_H-M   I4/mmm
_cell_length_a   4.43867200
_cell_length_b   4.43867200
_cell_length_c   6.03054834
_cell_angle_alpha   111.59328752
_cell_angle_beta   111.59328752
_cell_angle_gamma   89.99999999
_symmetry_Int_Tables_number   139
_chemical_formula_structural   Sr1Ag0.1Ge2Pd1.9
_chemical_formula_sum   'Sr1 Ag0.1 Ge2 Pd1.9'
_cell_volume   101.45304754
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y+z, x, z'
  4  'y-z, -x, -z'
  5  '-x+z, -y+z, z'
  6  'x-z, y-z, -z'
  7  'y, -x+z, z'
  8  '-y, x-z, -z'
  9  'x-z, -y, -z'
  10  '-x+z, y, z'
  11  '-y, -x, -z'
  12  'y, x, z'
  13  '-x, y-z, -z'
  14  'x, -y+z, z'
  15  'y-z, x-z, -z'
  16  '-y+z, -x+z, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.00000000  0.00000000  0.00000000  1.0
  Ge  Ge1  2  0.37057000  0.37057000  0.74114000  1.0
  Pd  Pd2  2  0.25000000  0.75000000  0.50000000  0.95
  Ag  Ag3  2  0.25000000  0.75000000  0.50000000  0.05
",-0.7134818633333324,2.62,10003,Ag0.1Ge2Pd1.9Sr1,14118,mp-978986,3dsc_mp
superband-10004,"# generated using pymatgen
data_In0.9Ag0.1Te1
_symmetry_space_group_name_H-M   Fm-3m
_cell_length_a   4.44363296
_cell_length_b   4.44363296
_cell_length_c   4.44363296
_cell_angle_alpha   60.00000000
_cell_angle_beta   60.00000000
_cell_angle_gamma   60.00000000
_symmetry_Int_Tables_number   225
_chemical_formula_structural   In0.9Ag0.1Te1
_chemical_formula_sum   'In0.9 Ag0.1 Te1'
_cell_volume   62.04396447
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y, -z, x+y+z'
  4  'y, z, -x-y-z'
  5  'z, -x-y-z, x'
  6  '-z, x+y+z, -x'
  7  'x+y+z, -x, -y'
  8  '-x-y-z, x, y'
  9  'y, x, -x-y-z'
  10  '-y, -x, x+y+z'
  11  '-z, -y, -x'
  12  'z, y, x'
  13  '-x-y-z, z, y'
  14  'x+y+z, -z, -y'
  15  '-x, x+y+z, -z'
  16  'x, -x-y-z, z'
  17  'z, x, y'
  18  '-z, -x, -y'
  19  'x+y+z, -y, -z'
  20  '-x-y-z, y, z'
  21  'x, z, -x-y-z'
  22  '-x, -z, x+y+z'
  23  '-y, x+y+z, -x'
  24  'y, -x-y-z, x'
  25  '-x-y-z, y, x'
  26  'x+y+z, -y, -x'
  27  '-x, -z, -y'
  28  'x, z, y'
  29  'y, -x-y-z, z'
  30  '-y, x+y+z, -z'
  31  '-z, -x, x+y+z'
  32  'z, x, -x-y-z'
  33  'y, z, x'
  34  '-y, -z, -x'
  35  '-z, x+y+z, -y'
  36  'z, -x-y-z, y'
  37  '-x-y-z, x, z'
  38  'x+y+z, -x, -z'
  39  '-x, -y, x+y+z'
  40  'x, y, -x-y-z'
  41  'x, -x-y-z, y'
  42  '-x, x+y+z, -y'
  43  '-y, -x, -z'
  44  'y, x, z'
  45  'z, y, -x-y-z'
  46  '-z, -y, x+y+z'
  47  'x+y+z, -z, -x'
  48  '-x-y-z, z, x'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  In  In0  1  0.00000000  0.00000000  0.00000000  0.9
  Ag  Ag1  1  0.00000000  0.00000000  0.00000000  0.1
  Te  Te2  1  0.50000000  0.50000000  0.50000000  1.0
",-0.4998510649999996,1.2,10004,Ag0.1In0.9Te1,14351,mp-2597,3dsc_mp
superband-10005,"# generated using pymatgen
data_Ba4Si7.2Ag0.8
_symmetry_space_group_name_H-M   P4_332
_cell_length_a   6.77143900
_cell_length_b   6.77143900
_cell_length_c   6.77143900
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   212
_chemical_formula_structural   Ba4Si7.2Ag0.8
_chemical_formula_sum   'Ba4 Si7.2 Ag0.8'
_cell_volume   310.48663569
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-y+3/4, x+1/4, z+3/4'
  3  '-x+1/2, -y, z+1/2'
  4  'y+3/4, -x+3/4, z+1/4'
  5  'x+1/2, -y+1/2, -z'
  6  '-y+1/4, -x+1/4, -z+1/4'
  7  '-x, y+1/2, -z+1/2'
  8  'y+1/4, x+3/4, -z+3/4'
  9  'z, x, y'
  10  'z+3/4, -y+3/4, x+1/4'
  11  'z+1/2, -x+1/2, -y'
  12  'z+1/4, y+3/4, -x+3/4'
  13  '-z, x+1/2, -y+1/2'
  14  '-z+1/4, -y+1/4, -x+1/4'
  15  '-z+1/2, -x, y+1/2'
  16  '-z+3/4, y+1/4, x+3/4'
  17  'y, z, x'
  18  'x+1/4, z+3/4, -y+3/4'
  19  '-y, z+1/2, -x+1/2'
  20  '-x+3/4, z+1/4, y+3/4'
  21  '-y+1/2, -z, x+1/2'
  22  '-x+1/4, -z+1/4, -y+1/4'
  23  'y+1/2, -z+1/2, -x'
  24  'x+3/4, -z+3/4, y+1/4'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  4  0.12500000  0.12500000  0.12500000  1.0
  Si  Si1  8  0.08191200  0.58191200  0.91808800  0.9
  Ag  Ag2  8  0.08191200  0.58191200  0.91808800  0.1
",-0.2994562650000005,3.2,10005,Ag0.2Ba1Si1.8,15855,mp-7275,3dsc_mp
superband-10006,"# generated using pymatgen
data_Sr1Ag0.2Ge2Pd1.8
_symmetry_space_group_name_H-M   I4/mmm
_cell_length_a   4.43867200
_cell_length_b   4.43867200
_cell_length_c   6.03054834
_cell_angle_alpha   111.59328752
_cell_angle_beta   111.59328752
_cell_angle_gamma   89.99999999
_symmetry_Int_Tables_number   139
_chemical_formula_structural   Sr1Ag0.2Ge2Pd1.8
_chemical_formula_sum   'Sr1 Ag0.2 Ge2 Pd1.8'
_cell_volume   101.45304754
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
  2  '-x, -y, -z'
  3  '-y+z, x, z'
  4  'y-z, -x, -z'
  5  '-x+z, -y+z, z'
  6  'x-z, y-z, -z'
  7  'y, -x+z, z'
  8  '-y, x-z, -z'
  9  'x-z, -y, -z'
  10  '-x+z, y, z'
  11  '-y, -x, -z'
  12  'y, x, z'
  13  '-x, y-z, -z'
  14  'x, -y+z, z'
  15  'y-z, x-z, -z'
  16  '-y+z, -x+z, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Sr  Sr0  1  0.00000000  0.00000000  0.00000000  1.0
  Ge  Ge1  2  0.37057000  0.37057000  0.74114000  1.0
  Pd  Pd2  2  0.25000000  0.75000000  0.50000000  0.9
  Ag  Ag3  2  0.25000000  0.75000000  0.50000000  0.1
",-0.7134818633333324,2.52,10006,Ag0.2Ge2Pd1.8Sr1,14118,mp-978986,3dsc_mp
superband-10007,"# generated using pymatgen
data_AgHg
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.53146300
_cell_length_b   5.53146300
_cell_length_c   5.53146300
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   90.00000000
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AgHg
_chemical_formula_sum   'Ag4 Hg4'
_cell_volume   169.24663208
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ag  Ag0  1  0.14881700  0.35118300  0.64881700  1.0
  Ag  Ag1  1  0.35118300  0.64881700  0.14881700  1.0
  Ag  Ag2  1  0.64881700  0.14881700  0.35118300  1.0
  Ag  Ag3  1  0.85118300  0.85118300  0.85118300  1.0
  Hg  Hg4  1  0.15476800  0.15476800  0.15476800  1.0
  Hg  Hg5  1  0.34523200  0.84523200  0.65476800  1.0
  Hg  Hg6  1  0.65476800  0.34523200  0.84523200  1.0
  Hg  Hg7  1  0.84523200  0.65476800  0.34523200  1.0
",0.0834321504166666,0.64,10007,Ag0.438Hg0.562,10007,mp-758523,superband_local
superband-10010,"# generated using pymatgen
data_Ba2Si3Ag
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   12.47996987
_cell_length_b   10.88585391
_cell_length_c   8.62572817
_cell_angle_alpha   78.59026895
_cell_angle_beta   58.76362738
_cell_angle_gamma   42.64833660
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Ba2Si3Ag
_chemical_formula_sum   'Ba8 Si12 Ag4'
_cell_volume   643.83643301
_cell_formula_units_Z   4
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Ba  Ba0  1  0.12561336  0.12560712  0.37439744  1.0
  Ba  Ba1  1  0.87561137  0.87560970  0.12439740  1.0
  Ba  Ba2  1  0.12438646  0.12439256  0.87560259  1.0
  Ba  Ba3  1  0.37438847  0.37439100  0.12560266  1.0
  Ba  Ba4  1  0.62448813  0.62449776  0.37550146  1.0
  Ba  Ba5  1  0.37550733  0.37550969  0.62450377  1.0
  Ba  Ba6  1  0.62551162  0.62550271  0.87449847  1.0
  Ba  Ba7  1  0.87449248  0.87449036  0.62549628  1.0
  Si  Si8  1  0.33768020  0.65662406  0.82191515  1.0
  Si  Si9  1  0.18379806  0.82192902  0.65662427  1.0
  Si  Si10  1  0.82188301  0.18382690  0.33770494  1.0
  Si  Si11  1  0.65656708  0.33771647  0.18384463  1.0
  Si  Si12  1  0.91231967  0.59337599  0.42808479  1.0
  Si  Si13  1  0.06620178  0.42807103  0.59337583  1.0
  Si  Si14  1  0.42811675  0.06617331  0.91229508  1.0
  Si  Si15  1  0.90987470  0.59010246  0.90986982  1.0
  Si  Si16  1  0.65987111  0.34012245  0.65987886  1.0
  Si  Si17  1  0.34012526  0.65989754  0.34013043  1.0
  Si  Si18  1  0.59012844  0.90987736  0.59012130  1.0
  Si  Si19  1  0.59343332  0.91228425  0.06615490  1.0
  Ag  Ag20  1  0.08298037  0.41699002  0.08302595  1.0
  Ag  Ag21  1  0.16702026  0.83301010  0.16697405  1.0
  Ag  Ag22  1  0.41700786  0.08298108  0.41698337  1.0
  Ag  Ag23  1  0.83299192  0.16701907  0.83301657  1.0
",-0.4369231786111112,1.21,10010,Ag0.5Ba1Si1.5,10010,mp-9867,superband_local
superband-10011,"# generated using pymatgen
data_Th4AgPd
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   6.05564820
_cell_length_b   6.05564820
_cell_length_c   6.05564820
_cell_angle_alpha   104.02205031
_cell_angle_beta   104.02205031
_cell_angle_gamma   121.02482426
_symmetry_Int_Tables_number   1
_chemical_formula_structural   Th4AgPd
_chemical_formula_sum   'Th4 Ag1 Pd1'
_cell_volume   165.64730779
_cell_formula_units_Z   1
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Th  Th0  1  0.40938000  0.90938000  0.81876100  1.0
  Th  Th1  1  0.09062000  0.59062000  0.18123900  1.0
  Th  Th2  1  0.59062000  0.40938000  0.50000000  1.0
  Th  Th3  1  0.90938000  0.09062000  0.50000000  1.0
  Ag  Ag4  1  0.50000000  0.50000000  0.00000000  1.0
  Pd  Pd5  1  0.00000000  0.00000000  0.00000000  1.0
",-0.2798250644444451,1.2,10011,Ag0.5Pd0.5Th2,10011,mp-1217282,superband_local
superband-10013,"# generated using pymatgen
data_AlAg2
_symmetry_space_group_name_H-M   'P 1'
_cell_length_a   5.00705575
_cell_length_b   5.00705557
_cell_length_c   4.58486256
_cell_angle_alpha   90.00000000
_cell_angle_beta   90.00000000
_cell_angle_gamma   120.87801454
_symmetry_Int_Tables_number   1
_chemical_formula_structural   AlAg2
_chemical_formula_sum   'Al2 Ag4'
_cell_volume   98.65315808
_cell_formula_units_Z   2
loop_
 _symmetry_equiv_pos_site_id
 _symmetry_equiv_pos_as_xyz
  1  'x, y, z'
loop_
 _atom_site_type_symbol
 _atom_site_label
 _atom_site_symmetry_multiplicity
 _atom_site_fract_x
 _atom_site_fract_y
 _atom_site_fract_z
 _atom_site_occupancy
  Al  Al0  1  0.01089500  0.01089500  0.00000000  1.0
  Al  Al1  1  0.65583014  0.65583014  0.50000000  1.0
  Ag  Ag2  1  0.67970649  0.35770150  0.00000000  1.0
  Ag  Ag3  1  0.35770150  0.67970649  0.00000000  1.0
  Ag  Ag4  1  0.30910713  0.98709173  0.50000000  1.0
  Ag  Ag5  1  0.98709173  0.30910713  0.50000000  1.0
",-0.0754767894444441,0.11,10013,Ag0.625Al0.375,10015,mp-985805,superband_local
